,namespace,owner,"Média de conteúdos selecionados, curados ou criados por mês"
0,abdiasmartins,eduprof.acacio.arnaldo.am,29.0
1,abdiasmartins,eduprof.ana.maria.am,2.0
2,abdiasmartins,eduprof.francisco.ernane.am,1.0
3,abdiasmartins,eduprof.ildenilda.sousa.am,6.0
4,abdiasmartins,eduprof.maria.elieusa.am,6.5
5,abdiasmartins,eduprof.maria.geisa.am,1.0
6,abdiasmartins,eduprof.maria.gorete.am,8.0
7,abdiasmartins,eduprof.samuel.martins.am,6.0
8,abdiasmartins,eduprof.vilamar.araujo.am,4.0
9,abiliomartins,eduprof.ellen.zeziana.am,1.5
10,abiliomartins,eduprof.jhean.rodrigues.am,7.0
11,abiliomartins,eduprof.maria.monica.am,1.0
12,abiliomartins,eduprof.ozana.alves.am,1.0
13,abiliomartins,eduprof.rita.angelo.am,5.0
14,abiliomartins,eduprof.roberto.cesar.am,1.0
15,acessoalmirantetamandare,adrielle.nadolny,65.2
16,acessoalmirantetamandare,alini.gomes,82.5
17,acessoalmirantetamandare,amanda.marcella,58.25
18,acessoalmirantetamandare,andreia.galvan,16.0
19,acessoalmirantetamandare,ariane.chagas,3.0
20,acessoalmirantetamandare,bianca.correia,11.0
21,acessoalmirantetamandare,bruno.francisco,23.6
22,acessoalmirantetamandare,celiane.dalazuana,8.5
23,acessoalmirantetamandare,daiany.souza,47.67
24,acessoalmirantetamandare,daniel.lourenco,14.0
25,acessoalmirantetamandare,daniela.porath,52.4
26,acessoalmirantetamandare,decio.mazur,46.0
27,acessoalmirantetamandare,diego.lima,16.67
28,acessoalmirantetamandare,edson.geremias,14.0
29,acessoalmirantetamandare,elisangela.vanice,36.4
30,acessoalmirantetamandare,fernando.niles,48.0
31,acessoalmirantetamandare,flavio.quadros,9.0
32,acessoalmirantetamandare,franciele.rosa,46.0
33,acessoalmirantetamandare,gustavo.rodrigues,44.0
34,acessoalmirantetamandare,iris.terezinha,7.4
35,acessoalmirantetamandare,joao.rodini,18.4
36,acessoalmirantetamandare,lucas.dos,23.33
37,acessoalmirantetamandare,luiz.paulo,37.0
38,acessoalmirantetamandare,luize.kristine,24.5
39,acessoalmirantetamandare,maikon.oliveira,41.67
40,acessoalmirantetamandare,marcia.serafim,22.5
41,acessoalmirantetamandare,maria.luiza,43.0
42,acessoalmirantetamandare,neide.elizabeth,31.25
43,acessoalmirantetamandare,paulo.fiatte,3.5
44,acessoalmirantetamandare,pedro.stival,29.6
45,acessoalmirantetamandare,rafael.alves,75.0
46,acessoalmirantetamandare,rosele.maria,82.6
47,acessoalmirantetamandare,rosemari.laskos,109.0
48,acessoalmirantetamandare,ruan.antunes,14.2
49,acessoalmirantetamandare,simone.adelaide,42.0
50,acessoalmirantetamandare,simoni.molina,4.5
51,acessoalmirantetamandare,sirlei.da,111.6
52,acessoalmirantetamandare,willian.rocha,7.0
53,acessoalmirantetamandare,ynajara.prado,98.4
54,acessoboqueirao,MauroCesar,43.2
55,acessoboqueirao,adriano.lima,42.6
56,acessoboqueirao,ana.maria,40.4
57,acessoboqueirao,andrea.lopes,3.75
58,acessoboqueirao,anna.claudia,95.6
59,acessoboqueirao,ariane.chagas,2.0
60,acessoboqueirao,augusto.mozart,7.8
61,acessoboqueirao,braguim.ana,37.4
62,acessoboqueirao,cintia.lopes,10.75
63,acessoboqueirao,cristofer.muller,53.6
64,acessoboqueirao,daniel.lourenco,10.8
65,acessoboqueirao,diego.lima,2.0
66,acessoboqueirao,eduardo.brito,16.4
67,acessoboqueirao,eliaquim.silva,1.0
68,acessoboqueirao,erivaldo.aparecido,37.2
69,acessoboqueirao,fernanda.rossetto,2.0
70,acessoboqueirao,gessinguer.matheus,39.6
71,acessoboqueirao,giovani.lucas,13.75
72,acessoboqueirao,giovanni.antonio,47.2
73,acessoboqueirao,guilherme.figura,29.6
74,acessoboqueirao,guilherme.ramos,24.8
75,acessoboqueirao,guilherme.shibata,7.2
76,acessoboqueirao,gustavo.felipe,28.8
77,acessoboqueirao,ivo.lessa,1.0
78,acessoboqueirao,jaime.mauricio,8.8
79,acessoboqueirao,janete.correa,117.5
80,acessoboqueirao,joao.filipe,13.67
81,acessoboqueirao,jonathan.willian,9.4
82,acessoboqueirao,jucara.feitosa,40.6
83,acessoboqueirao,livia.santos,20.0
84,acessoboqueirao,lucas2021,18.2
85,acessoboqueirao,luiz.ricardo,18.0
86,acessoboqueirao,maria.luiza,11.6
87,acessoboqueirao,michele.pilato,21.6
88,acessoboqueirao,paulo.fabricio,34.8
89,acessoboqueirao,paulo.roberto,45.0
90,acessoboqueirao,pedro.adriano,18.6
91,acessoboqueirao,rafael.alves,60.0
92,acessoboqueirao,rafael.varistelo,44.8
93,acessoboqueirao,roseane.dalpiaz,76.8
94,acessoboqueirao,sidnei.christoff,12.4
95,acessoboqueirao,simone.oliveira,27.0
96,acessoboqueirao,tamajoara.proenca,38.6
97,acessoboqueirao,thaysa.franco,63.4
98,acessoboqueirao,thiago.luis,15.5
99,acessoboqueirao,thiago.mendes,8.6
100,acessoboqueirao,virginie.pierin,137.4
101,acessoboqueirao,william.robert,28.8
102,acessocampolargo,alessandro.correa,14.0
103,acessocampolargo,ana.ganassoli,70.4
104,acessocampolargo,cintia.lopes,39.4
105,acessocampolargo,cristiano.borges,142.4
106,acessocampolargo,daniel.lourenco,23.2
107,acessocampolargo,daniel.tadanori,4.6
108,acessocampolargo,dulcineia.kempner,117.2
109,acessocampolargo,edmar.brustolin,17.8
110,acessocampolargo,eduardo.stelle,5.0
111,acessocampolargo,eliaquim.silva,1.0
112,acessocampolargo,evelin.marques,296.5
113,acessocampolargo,everton.luis,47.4
114,acessocampolargo,gislaine.winheski,51.6
115,acessocampolargo,guilherme.dobrychtop,26.2
116,acessocampolargo,jaqueline.berton,26.0
117,acessocampolargo,joao.rodini,34.0
118,acessocampolargo,leonardo.jose,5.4
119,acessocampolargo,luiz.ricardo,8.0
120,acessocampolargo,mario.souza,43.8
121,acessocampolargo,monica.marcelle,27.8
122,acessocampolargo,pedro.adriano,9.6
123,acessocampolargo,rafael.alves,55.0
124,acessocampolargo,roger.fernando,27.75
125,acessocampolargo,rosele.maria,70.4
126,acessocampolargo,ruan.antunes,21.5
127,acessocampolargo,rubens.labios,36.6
128,acessocampolargo,tamyris.kempner,104.2
129,acessocampolargo,terezinha.salvador,59.0
130,acessocampolargo,valquiria.eloise,27.4
131,acessocampolargo,vania.regina,18.4
132,acessocampolargokids,ana.figueiredo,23.2
133,acessocampolargokids,ana.schneider,34.2
134,acessocampolargokids,andressa.freitas,13.8
135,acessocampolargokids,caroline.drugik,103.4
136,acessocampolargokids,danielly.dorada,57.6
137,acessocampolargokids,elisangela.marinhak,103.4
138,acessocampolargokids,glenda.pollice,59.8
139,acessocampolargokids,jocimara.moraes,1.0
140,acessocampolargokids,luiza.batista,2.0
141,acessocampolargokids,mariacristina.matos,28.0
142,acessocampolargokids,vania.savio,5.33
143,acessofazendariogrande,alana.deus,9.0
144,acessofazendariogrande,alessandro.correa,19.67
145,acessofazendariogrande,alexandre.luiz,46.8
146,acessofazendariogrande,alisson.da,65.0
147,acessofazendariogrande,andreia.farias,25.6
148,acessofazendariogrande,andreia.simone,47.0
149,acessofazendariogrande,ariane.chagas,1.0
150,acessofazendariogrande,cristofer.muller,6.2
151,acessofazendariogrande,edmar.brustolin,15.6
152,acessofazendariogrande,eduardo.stelle,5.5
153,acessofazendariogrande,elaine.vaz,32.6
154,acessofazendariogrande,guilherme.ieger,20.0
155,acessofazendariogrande,jean.carlos,83.0
156,acessofazendariogrande,jefferson.renato,1.0
157,acessofazendariogrande,jessica.thais,25.8
158,acessofazendariogrande,joao.rodini,29.0
159,acessofazendariogrande,kamila.silva,65.8
160,acessofazendariogrande,kaue.nascimento,9.0
161,acessofazendariogrande,kelly.juliene,18.8
162,acessofazendariogrande,leonardo.jose,46.2
163,acessofazendariogrande,luiz.paulo,39.5
164,acessofazendariogrande,michele.pilato,73.4
165,acessofazendariogrande,paulo.fabricio,71.8
166,acessofazendariogrande,pedro.adriano,10.8
167,acessofazendariogrande,rafael.alves,55.0
168,acessofazendariogrande,rodrigo.simao,8.0
169,acessofazendariogrande,roger.fernando,7.75
170,acessofazendariogrande,sergio.junior,51.4
171,acessofazendariogrande,sheila.marafigo,61.67
172,acessofazendariogrande,simone.zamperon,8.2
173,acessofazendariogrande,tatiane.cristina,56.0
174,acessofazendariogrande,thalyta.duma,25.0
175,acessofazendariogrande,william.robert,17.0
176,acessofazendariogrande,willian.gean,49.4
177,acessohauer,alexandre.luiz,49.0
178,acessohauer,amanda.coutinho,108.25
179,acessohauer,ana.claudia,141.0
180,acessohauer,ana.maria,139.8
181,acessohauer,anna.claudia,37.8
182,acessohauer,ariane.chagas,1.0
183,acessohauer,braguim.ana,35.0
184,acessohauer,bruna.esser,34.8
185,acessohauer,diego.godoy,77.2
186,acessohauer,eliaquim.silva,1.0
187,acessohauer,elisangela.vanice,11.0
188,acessohauer,emanuelle.cristiane,66.8
189,acessohauer,graciele.isabel,11.25
190,acessohauer,juliana.azevedo.oliveira,109.8
191,acessohauer,luciana.helena,196.8
192,acessohauer,maria.pinto,35.0
193,acessohauer,mariana.lopes,63.4
194,acessohauer,matriculadores.susyara.cristiane,1.0
195,acessohauer,mauro.cesar,139.4
196,acessohauer,morgana.brito,8.8
197,acessohauer,rafael.alves,15.0
198,acessohauer,sara.ruana,71.4
199,acessohauer,simone.adelaide,78.2
200,acessohauer,thaysa.franco,110.0
201,acessohauer,valquiria.eloise,41.2
202,acessohauer,william.robert,28.6
