,namespace,user_id,type
0,abdiasmartins,eduprof.acacio.arnaldo.am,1
1,abdiasmartins,eduprof.ildenilda.sousa.am,16
2,abdiasmartins,eduprof.maria.elieusa.am,12
3,abiliomartins,eduprof.jhean.rodrigues.am,3
4,acessoalmirantetamandare,alini.gomes,40
5,acessoalmirantetamandare,bruno.francisco,7
6,acessoalmirantetamandare,daiany.souza,124
7,acessoalmirantetamandare,daniel.lourenco,58
8,acessoalmirantetamandare,decio.mazur,106
9,acessoalmirantetamandare,edson.geremias,283
10,acessoalmirantetamandare,elisangela.vanice,268
11,acessoalmirantetamandare,fernando.niles,388
12,acessoalmirantetamandare,franciele.rosa,72
13,acessoalmirantetamandare,gustavo.rodrigues,3
14,acessoalmirantetamandare,lucas.dos,121
15,acessoalmirantetamandare,luiz.paulo,52
16,acessoalmirantetamandare,luize.kristine,28
17,acessoalmirantetamandare,maikon.oliveira,292
18,acessoalmirantetamandare,maria.luiza,85
19,acessoalmirantetamandare,pedro.stival,2
20,acessoalmirantetamandare,rosele.maria,47
21,acessoalmirantetamandare,rosemari.laskos,1916
22,acessoalmirantetamandare,simone.adelaide,62
23,acessoalmirantetamandare,sirlei.da,787
24,acessoalmirantetamandare,ynajara.prado,4
25,acessoboqueirao,MauroCesar,491
26,acessoboqueirao,adriano.lima,11
27,acessoboqueirao,ana.maria,55
28,acessoboqueirao,anna.claudia,895
29,acessoboqueirao,braguim.ana,579
30,acessoboqueirao,cristofer.muller,6
31,acessoboqueirao,daniel.lourenco,208
32,acessoboqueirao,diego.lima,1142
33,acessoboqueirao,franciely.jaremczuk,24
34,acessoboqueirao,gessinguer.matheus,596
35,acessoboqueirao,guilherme.figura,1
36,acessoboqueirao,guilherme.ramos,41
37,acessoboqueirao,gustavo.felipe,1
38,acessoboqueirao,jucara.feitosa,3793
39,acessoboqueirao,lucas2021,43
40,acessoboqueirao,maria.luiza,127
41,acessoboqueirao,paulo.fabricio,30
42,acessoboqueirao,rafael.varistelo,2
43,acessoboqueirao,roseane.dalpiaz,1850
44,acessoboqueirao,simone.oliveira,2
45,acessoboqueirao,thaysa.franco,240
46,acessoboqueirao,thiago.mendes,2
47,acessoboqueirao,virginie.pierin,1007
48,acessoboqueirao,william.robert,2
49,acessocampolargo,alessandro.correa,495
50,acessocampolargo,ana.ganassoli,10
51,acessocampolargo,cintia.lopes,576
52,acessocampolargo,cristiano.borges,1726
53,acessocampolargo,daniel.lourenco,126
54,acessocampolargo,dulcineia.kempner,961
55,acessocampolargo,edmar.brustolin,375
56,acessocampolargo,everton.luis,1533
57,acessocampolargo,gislaine.winheski,1282
58,acessocampolargo,guilherme.dobrychtop,21
59,acessocampolargo,jaqueline.berton,314
60,acessocampolargo,mario.souza,131
61,acessocampolargo,roger.fernando,632
62,acessocampolargo,rosele.maria,306
63,acessocampolargo,ruan.antunes,3
64,acessocampolargo,rubens.labios,80
65,acessocampolargo,terezinha.salvador,50
66,acessocampolargo,valquiria.eloise,50
67,acessocampolargo,vania.regina,1
68,acessocampolargokids,ana.figueiredo,86
69,acessocampolargokids,ana.schneider,256
70,acessocampolargokids,caroline.drugik,144
71,acessocampolargokids,danielly.dorada,1290
72,acessocampolargokids,elisangela.marinhak,38
73,acessocampolargokids,glenda.pollice,6
74,acessocampolargokids,mariacristina.matos,55
75,acessofazendariogrande,alessandro.correa,940
76,acessofazendariogrande,alexandre.luiz,20
77,acessofazendariogrande,alisson.da,19
78,acessofazendariogrande,andreia.farias,13
79,acessofazendariogrande,andreia.simone,2983
80,acessofazendariogrande,cristofer.muller,2
81,acessofazendariogrande,edmar.brustolin,1242
82,acessofazendariogrande,elaine.vaz,111
83,acessofazendariogrande,guilherme.ieger,15
84,acessofazendariogrande,jean.carlos,31
85,acessofazendariogrande,jefferson.renato,2
86,acessofazendariogrande,jessica.thais,163
87,acessofazendariogrande,kelly.juliene,11
88,acessofazendariogrande,leonardo.jose,19
89,acessofazendariogrande,luiz.paulo,7
90,acessofazendariogrande,michele.pilato,117
91,acessofazendariogrande,paulo.fabricio,88
92,acessofazendariogrande,pedro.adriano,1
93,acessofazendariogrande,sergio.junior,272
94,acessofazendariogrande,sheila.marafigo,138
95,acessofazendariogrande,tatiane.cristina,328
96,acessofazendariogrande,thalyta.duma,17
97,acessofazendariogrande,william.robert,5
98,acessofazendariogrande,willian.gean,1476
99,acessohauer,alexandre.luiz,5
100,acessohauer,ana.maria,102
101,acessohauer,anna.claudia,169
102,acessohauer,braguim.ana,439
103,acessohauer,diego.godoy,1135
104,acessohauer,emanuelle.cristiane,731
105,acessohauer,graciele.isabel,308
106,acessohauer,juliana.azevedo.oliveira,404
107,acessohauer,luciana.helena,852
108,acessohauer,mariana.lopes,11
109,acessohauer,mauro.cesar,948
110,acessohauer,morgana.brito,85
111,acessohauer,simone.adelaide,324
112,acessohauer,thaysa.franco,1027
113,acessohauer,valquiria.eloise,210
114,acessohauer,william.robert,3
115,acessopinhais,edmar.brustolin,484
116,acessopinhais,elisa.sizenandop,345
117,acessopinhais,fernada.maccagnan,2380
118,acessopinhais,gessinguer.rodecz,109
119,acessopinhais,gilberto.alves,2
120,acessopinhais,guilherme.ieger,15
121,acessopinhais,iris.terezinha,1
122,acessopinhais,isabel.cristina,149
123,acessopinhais,jaqueline.castro,3
124,acessopinhais,joao.rodini,4
125,acessopinhais,lucas.alberto,1
126,acessopinhais,luis.felipe,4
127,acessopinhais,luis.marafigo,40
128,acessopinhais,tauyllin.bruno,3
129,acessopinhais,thiago.mendes,5
130,acessosantafelicidade,alexandre.luiz,6
131,acessosantafelicidade,angelis.gabardo,452
132,acessosantafelicidade,bruna.sampaio,43
133,acessosantafelicidade,cintia.aparecida,65
134,acessosantafelicidade,cintia.meri,11
135,acessosantafelicidade,cristofer.muller,3
136,acessosantafelicidade,dayllem.aparecida,106
137,acessosantafelicidade,decio.mazur,1
138,acessosantafelicidade,felipe.rodini,5
139,acessosantafelicidade,glaziele.miranda,8
140,acessosantafelicidade,gustavo.felipe,1
141,acessosantafelicidade,joao.rodini,1
142,acessosantafelicidade,lawrence.young,1
143,acessosantafelicidade,livia.santos,245
144,acessosantafelicidade,lucas.alberto,83
145,acessosantafelicidade,maria.luiza,806
146,acessosantafelicidade,neide.elizabeth,4
147,acessosantafelicidade,priscila.cavali,23
148,acessosantafelicidade,rosemeri.laskos,330
149,acessosantafelicidade,sandra.mara,224
150,acessosantafelicidade,silvana.sadzinski,67
151,acessosantafelicidade,simone.oliveira,3
152,acessosantafelicidade,tatiane.cristina,212
153,acessosantafelicidade,thiago.mayron,243
154,acessosantafelicidade,thiago.mendes,20
155,acessosantafelicidade,virginie.pierin,291
156,acessosantafelicidade,ynajara.prado,3
157,acessosjpinhais,adriano.maia,1781
158,acessosjpinhais,allan.araujo,139
159,acessosjpinhais,amanda.zanatta,1559
160,acessosjpinhais,andressa.silva,2482
161,acessosjpinhais,bellin.matheus,36
162,acessosjpinhais,bharbara.lima,191
163,acessosjpinhais,decio.mazur,455
164,acessosjpinhais,edmar.brustolin,266
165,acessosjpinhais,elaine.brito,15
166,acessosjpinhais,felipe.lima,1
167,acessosjpinhais,felipe.moreno,96
168,acessosjpinhais,flavio.quadros,153
169,acessosjpinhais,franciele.moura,1549
170,acessosjpinhais,gessinger.rodecz,85
171,acessosjpinhais,grasieli.santos,19
172,acessosjpinhais,guilherme.barbosa,388
173,acessosjpinhais,isabel.casarin,318
174,acessosjpinhais,jaqueline.antonio,196
175,acessosjpinhais,jessica.lesniowski,535
176,acessosjpinhais,jhulian.amaral,3492
177,acessosjpinhais,kelly.miranda,1012
178,acessosjpinhais,luciana.mello,282
179,acessosjpinhais,marialuiza.oliveira,705
180,acessosjpinhais,mario.junior,235
181,acessosjpinhais,michele.almeida,142
182,acessosjpinhais,naiana.saldanha,66
183,acessosjpinhais,nathane.pacheco,259
184,acessosjpinhais,pauliane.ienkot,1234
185,acessosjpinhais,rafael.floro,473
186,acessosjpinhais,siddhartha.giese,5
187,acessosjpinhais,suelem.antonio,567
188,acessosjpinhais,suelin.laurindo,5611
189,acessosjpinhais,valeria.cordeiro,173
190,acessosjpinhais,vanessa.greco,8606
191,adrianochan,Dulce.Lima,319
192,adrianochan,Gracileia.Moraes,392
193,adrianochan,case.vasconcellos,208
194,adrianochan,evaldo.almeida,1585
195,adrianochan,octavio.da.matta,66
196,adrianochan,sandra.sakamoto,243
197,aescobjetivo,adriana.lopes,1700
198,aescobjetivo,aline.scalon,16
199,aescobjetivo,ana.cecilia,827
200,aescobjetivo,anapaula.martins,418
201,aescobjetivo,bruno.andrade,1593
202,aescobjetivo,caio.barandas,1
203,aescobjetivo,daniel.fernando,3624
204,aescobjetivo,denis.morasi,40
205,aescobjetivo,devalcir.antonio,64
206,aescobjetivo,diego.pires,271
207,aescobjetivo,fernanda.isack,402
208,aescobjetivo,joy.carpes,128
209,aescobjetivo,julia.benedetti,350
210,aescobjetivo,juliana.silas,486
211,aescobjetivo,luiz.tiago,98
212,aescobjetivo,luiza.santiago,68
213,aescobjetivo,maria.eunice,4096
214,aescobjetivo,maria.lucia,2827
215,aescobjetivo,marina.campos,1
216,aescobjetivo,mateus.scassa,186
217,aescobjetivo,natalia.centioli,27
218,aescobjetivo,raniery.rosa,24
219,aescobjetivo,rosina.muto,992
220,aescobjetivo,samira.fiorezi,4023
221,aescobjetivo,simone.barbosa,520
222,aescobjetivo,simone.lassala,3223
223,aescobjetivo,thais.pelaquim,2480
224,aescobjetivo,thiago.avansi,98
225,aescobjetivo,viviane.rosemeire,648
226,alpha,20160096,1
227,alpha,Anacarolinadefaria,24
228,alpha,Anapaulasantos,100
229,alpha,Arianenogueira,1995
230,alpha,Carlafernanda,743
231,alpha,Danielivilela,2927
232,alpha,Daniellamassarenti,101
233,alpha,Dirlenedousseau,527
234,alpha,Flaviaakiko,50
235,alpha,GabrielDelgado,294
236,alpha,GiselePampanini,17
237,alpha,Helanesouza,235
238,alpha,Joyceazevedo,5
239,alpha,Keilaantunes,141
240,alpha,LaraRibeiro,897
241,alpha,Ligialozano,247
242,alpha,Marcoscorrea,70
243,alpha,Mariliaeira,387
244,alpha,Polianabittencourt,138
245,alpha,Regianeminas,70
246,alpha,VanessaNassif,149
247,alpha,WagnerMaracini,4
248,alpha,alinematsushita,5
249,alpha,anabcordeiro,12
250,alpha,anafazolli,110
251,alpha,andressaboschetti,9
252,alpha,educadorafisicamariana,271
253,alpha,fabioamonteiro,1
254,alpha,jportezani,6
255,alpha,limeliee,33
256,alpha,lucianafava,74
257,alpha,miyuki,83
258,alpha,primogerbelli,74
259,alpha,prof.alexandra,237
260,alpha,prof.arthur,74
261,alpha,prof.julio,45
262,alpha,professoralpha31,99
263,alpha,professoralpha32,112
264,alpha,robertaxlg,70
265,alpha,victorabr,157
266,alpha,viniciusbrito99,34
267,amadeus,ANDREZZA.SANTOS,316
268,amadeus,Andreluis,484
269,amadeus,Claudiomoreira,254
270,amadeus,DIEGO,3
271,amadeus,Eliziojunior,1
272,amadeus,Paulo.Rocha,2
273,amadeus,adriana.santos,3
274,amadeus,aline.grigorio,1518
275,amadeus,amadeus,5
276,amadeus,amandadonascimento,450
277,amadeus,anapaulajesus,418
278,amadeus,anazelia,462
279,amadeus,andresantana,1
280,amadeus,andrezaporto,1962
281,amadeus,anne.michelle,143
282,amadeus,anne.santos,3
283,amadeus,ashleytrindade,2
284,amadeus,bergsonalves,53
285,amadeus,brunnolliver,2
286,amadeus,brunoduarte,9
287,amadeus,caina.marques,451
288,amadeus,carla.santana,2954
289,amadeus,charlenecorreira,106
290,amadeus,claudiaraujo,9
291,amadeus,claudiceia.melo,3158
292,amadeus,damarescampos,151
293,amadeus,daniela.tamires,752
294,amadeus,daniellefontes,392
295,amadeus,danycyn,1545
296,amadeus,daysepeixoto,2736
297,amadeus,debora.santos,247
298,amadeus,deywison,314
299,amadeus,edineide.silva,346
300,amadeus,edna.alves,8842
301,amadeus,eduardoluis,262
302,amadeus,elaine.aragao,2682
303,amadeus,elayne.franca,2257
304,amadeus,estefanni.silva,524
305,amadeus,fabiana.moura,547
306,amadeus,fabiodonascimento,46
307,amadeus,glaucia.santos,339
308,amadeus,glicia1978,351
309,amadeus,greyce.moura,781
310,amadeus,irisd,94
311,amadeus,itatiana.araujo,442
312,amadeus,izabella.matos,264
313,amadeus,jaeldson.aquino,27
314,amadeus,jonasramos,416
315,amadeus,katialeite,1488
316,amadeus,leilalima,1841
317,amadeus,lenilza.santos,18
318,amadeus,lidiane,3
319,amadeus,luana.andrade,3119
320,amadeus,lucasassis,36
321,amadeus,lucianodantas,579
322,amadeus,marcela.oliveira,5000
323,amadeus,marciavirginia,19
324,amadeus,mariavanessa,390
325,amadeus,monica.brito,681
326,amadeus,patriciafarias,151
327,amadeus,profgiovanni,72
328,amadeus,rafael.rocha,1742
