,namespace,owner,"Média de exércicios selecionados, curados ou criados por mês"
0,abdiasmartins,eduprof.francisco.ernane.am,1.0
1,abdiasmartins,eduprof.maria.elieusa.am,37.0
2,abdiasmartins,eduprof.maria.sueli.am,1.0
3,abdiasmartins,eduprof.samuel.martins.am,22.0
4,abiliomartins,edu.luciano.filho,35.0
5,abiliomartins,eduprof.ellen.zeziana.am,1.0
6,abiliomartins,eduprof.gerlandia.de.am,5.0
7,abiliomartins,eduprof.jhean.rodrigues.am,6.0
8,abiliomartins,eduprof.rodolfo.soares.am,32.5
9,acessoalmirantetamandare,andreia.galvan,1.0
10,acessoalmirantetamandare,ariane.chagas,288.0
11,acessoalmirantetamandare,bruno.francisco,15.38
12,acessoalmirantetamandare,celiane.dalazuana,14.0
13,acessoalmirantetamandare,daiany.souza,27.0
14,acessoalmirantetamandare,daniel.lourenco,6.0
15,acessoalmirantetamandare,daniela.porath,70.5
16,acessoalmirantetamandare,decio.mazur,9.86
17,acessoalmirantetamandare,edson.geremias,23.17
18,acessoalmirantetamandare,eliaquim.silva,84.88
19,acessoalmirantetamandare,elisangela.vanice,38.6
20,acessoalmirantetamandare,fernando.niles,43.4
21,acessoalmirantetamandare,gisele.guedes,83.0
22,acessoalmirantetamandare,gustavo.rodrigues,25.0
23,acessoalmirantetamandare,joao.rodini,12.0
24,acessoalmirantetamandare,jualiana.yamazato,153.5
25,acessoalmirantetamandare,leonardo.ceschin,168.8
26,acessoalmirantetamandare,luiz.paulo,37.2
27,acessoalmirantetamandare,maikon.oliveira,18.6
28,acessoalmirantetamandare,neide.elizabeth,16.4
29,acessoalmirantetamandare,pedro.stival,60.0
30,acessoalmirantetamandare,rafael.alves,90.0
31,acessoalmirantetamandare,rosemari.laskos,15.86
32,acessoalmirantetamandare,ruan.antunes,15.25
33,acessoboqueirao,MauroCesar,40.0
34,acessoboqueirao,adriano.lima,16.0
35,acessoboqueirao,anna.claudia,16.4
36,acessoboqueirao,ariane.chagas,120.0
37,acessoboqueirao,augusto.mozart,26.71
38,acessoboqueirao,braguim.ana,20.0
39,acessoboqueirao,cintia.lopes,24.0
40,acessoboqueirao,cristofer.muller,11.2
41,acessoboqueirao,daniel.lourenco,8.0
42,acessoboqueirao,eliaquim.silva,181.12
43,acessoboqueirao,erivaldo.aparecido,36.0
44,acessoboqueirao,fernanda.rossetto,57.33
45,acessoboqueirao,gessinguer.matheus,50.88
46,acessoboqueirao,giovanni.antonio,45.75
47,acessoboqueirao,guilherme.figura,10.8
48,acessoboqueirao,guilherme.ramos,17.12
49,acessoboqueirao,gustavo.felipe,77.71
50,acessoboqueirao,ivo.lessa,8.0
51,acessoboqueirao,jualiana.yamazato,123.5
52,acessoboqueirao,jucara.feitosa,27.5
53,acessoboqueirao,kamila.silva,10.0
54,acessoboqueirao,leonardo.ceschin,145.33
55,acessoboqueirao,lucas2021,11.0
56,acessoboqueirao,luiz.ricardo,43.14
57,acessoboqueirao,paulo.fabricio,13.29
58,acessoboqueirao,paulo.roberto,28.67
59,acessoboqueirao,rafael.alves,90.0
60,acessoboqueirao,rafael.varistelo,29.0
61,acessoboqueirao,roseane.dalpiaz,142.71
62,acessoboqueirao,thaysa.franco,15.0
63,acessoboqueirao,thiago.luis,10.0
64,acessoboqueirao,thiago.mendes,24.5
65,acessoboqueirao,virginie.pierin,17.29
66,acessocampolargo,ana.ganassoli,19.25
67,acessocampolargo,cintia.lopes,17.67
68,acessocampolargo,cristiano.borges,9.14
69,acessocampolargo,daniel.lourenco,15.0
70,acessocampolargo,dulcineia.kempner,49.12
71,acessocampolargo,edmar.brustolin,11.75
72,acessocampolargo,eliaquim.silva,175.5
73,acessocampolargo,everton.luis,31.5
74,acessocampolargo,gislaine.winheski,12.5
75,acessocampolargo,jaqueline.berton,16.0
76,acessocampolargo,joao.rodini,20.67
77,acessocampolargo,jualiana.yamazato,127.5
78,acessocampolargo,leonardo.ceschin,89.33
79,acessocampolargo,leonardo.jose,26.0
80,acessocampolargo,luiz.ricardo,27.0
81,acessocampolargo,mario.souza,10.0
82,acessocampolargo,rafael.alves,90.0
83,acessocampolargo,rosele.maria,17.0
84,acessocampolargo,ruan.antunes,8.0
85,acessocampolargo,rubens.labios,37.0
86,acessocampolargo,tamyris.kempner,35.6
87,acessocampolargo,terezinha.salvador,43.29
88,acessocampolargo,valquiria.eloise,11.5
89,acessocampolargo,vania.regina,4.0
90,acessocampolargokids,ana.figueiredo,10.0
91,acessocampolargokids,ariane.chagas,184.0
92,acessocampolargokids,eliaquim.silva,24.33
93,acessocampolargokids,jualiana.yamazato,21.5
94,acessocampolargokids,leonardo.ceschin,17.4
95,acessofazendariogrande,alexandre.luiz,49.5
96,acessofazendariogrande,andreia.simone,10.0
97,acessofazendariogrande,ariane.chagas,184.0
98,acessofazendariogrande,cristofer.muller,15.0
99,acessofazendariogrande,edmar.brustolin,14.2
100,acessofazendariogrande,elaine.vaz,10.0
101,acessofazendariogrande,eliaquim.silva,124.75
102,acessofazendariogrande,jean.carlos,25.33
103,acessofazendariogrande,jefferson.renato,4.5
104,acessofazendariogrande,joao.rodini,18.33
105,acessofazendariogrande,jualiana.yamazato,137.0
106,acessofazendariogrande,kamila.silva,18.0
107,acessofazendariogrande,kaue.nascimento,1.0
108,acessofazendariogrande,leonardo.ceschin,161.6
109,acessofazendariogrande,leonardo.jose,37.6
110,acessofazendariogrande,luiz.paulo,30.5
111,acessofazendariogrande,michele.pilato,24.38
112,acessofazendariogrande,paulo.fabricio,31.88
113,acessofazendariogrande,rafael.alves,90.0
114,acessofazendariogrande,sergio.junior,12.0
115,acessofazendariogrande,sheila.marafigo,23.0
116,acessofazendariogrande,simone.zamperon,8.25
117,acessofazendariogrande,tatiane.cristina,6.5
118,acessofazendariogrande,thalyta.duma,1.0
119,acessofazendariogrande,willian.gean,48.0
120,acessohauer,alexandre.luiz,23.5
121,acessohauer,anna.claudia,6.0
122,acessohauer,ariane.chagas,72.0
123,acessohauer,braguim.ana,20.0
124,acessohauer,diego.godoy,10.38
125,acessohauer,eliaquim.silva,66.25
126,acessohauer,emanuelle.cristiane,1.0
127,acessohauer,jualiana.yamazato,60.5
128,acessohauer,juliana.azevedo.oliveira,57.0
129,acessohauer,leonardo.ceschin,31.5
130,acessohauer,luciana.helena,34.0
131,acessohauer,maria.pinto,48.67
132,acessohauer,matriculadores.susyara.cristiane,50.8
133,acessohauer,mauro.cesar,95.5
134,acessohauer,sara.ruana,57.0
135,acessohauer,thaysa.franco,20.0
136,acessohauer,valquiria.eloise,10.67
137,acessopinhais,alana.deus,53.0
138,acessopinhais,andrea.lopes,5.0
139,acessopinhais,daniel.gama,6.0
140,acessopinhais,delton.savi,31.6
141,acessopinhais,edmar.brustolin,12.0
142,acessopinhais,eliaquim.silva,81.0
143,acessopinhais,elisa.sizenandop,7.57
144,acessopinhais,gessinguer.rodecz,23.0
