,namespace,segmento,Media de Conteúdos estudados
0,abdiasmartins,fundamental_dois,19.81
1,abdiasmartins,fundmental_um,8.0
2,abiliomartins,fundamental_dois,4.9
3,abiliomartins,infantil,2.0
4,acessoalmirantetamandare,em,163.28
5,acessoalmirantetamandare,fundamental_dois,253.74
6,acessoalmirantetamandare,fundmental_um,163.76
7,acessoboqueirao,em,350.01
8,acessoboqueirao,fundamental_dois,364.11
9,acessocampolargo,em,521.08
10,acessocampolargo,fundamental_dois,541.71
11,acessocampolargokids,fundmental_um,188.29
12,acessofazendariogrande,em,165.91
13,acessofazendariogrande,fundamental_dois,252.19
14,acessofazendariogrande,fundmental_um,98.0
15,acessohauer,fundamental_dois,410.33
16,acessohauer,fundmental_um,292.82
17,acessopinhais,em,200.62
18,acessosantafelicidade,em,367.4
19,acessosantafelicidade,fundamental_dois,321.01
20,acessosantafelicidade,fundmental_um,164.94
21,acessosjpinhais,em,289.45
22,acessosjpinhais,fundamental_dois,532.26
23,acessosjpinhais,fundmental_um,227.37
24,acessosjpinhais,infantil,26.21
25,aescobjetivo,em,162.42
26,aescobjetivo,fundamental_dois,327.14
27,aescobjetivo,fundmental_um,423.52
28,aescobjetivo,infantil,1.0
29,albertsabin,fundamental_dois,8.0
30,alfacembilingue,fundamental_dois,6.0
31,alpha,em,362.23
32,alpha,fundamental_dois,465.56
33,alpha,fundmental_um,396.65
34,alpha,infantil,134.14
35,amadeus,em,188.58
36,amadeus,fundamental_dois,474.23
37,amadeus,fundmental_um,311.56
38,antoniairene,fundmental_um,22.21
39,antoniairene,infantil,6.57
40,antoniolima,fundmental_um,64.02
41,antoniolima,infantil,119.03
42,antoniomelo,fundamental_dois,14.56
43,apogeustoantonio2,em,116.59
44,apogeustoantonio2,fundamental_dois,111.33
45,arena,fundamental_dois,1.0
46,atmo,fundamental_dois,5.0
47,benjaminconstant,em,9.0
48,benjaminconstant,fundamental_dois,8.0
49,casdinhosjc,fundamental_dois,242.96
50,catarinense,em,9.0
51,catarinense,fundamental_dois,3.0
52,ceabb,fundamental_dois,312.42
53,ceabb,fundmental_um,287.07
54,cecb,em,2.0
55,ceespacolivre,em,471.4
56,ceespacolivre,fundamental_dois,442.45
57,ceespacolivre,fundmental_um,79.56
58,cem,em,643.85
59,cem,fundamental_dois,643.8
60,cem,fundmental_um,447.23
61,ceprimeiromundo,em,152.58
62,ceprimeiromundo,fundamental_dois,176.08
63,ceprimeiromundo,fundmental_um,92.46
64,cermac,fundamental_dois,1.33
65,charlesdarwin,fundamental_dois,9.0
66,ciadosaber,fundamental_dois,179.73
67,ciadosaber,fundmental_um,72.31
68,colegioarena,em,54.81
69,colegiobetelbrasileirosp,em,306.62
70,colegiobetelbrasileirosp,fundamental_dois,266.63
71,colegiobetelbrasileirosp,fundmental_um,192.23
72,colegiobetelbrasileirosp,infantil,119.14
73,colegiobianguloiv,em,56.5
74,colegiobilac,fundamental_dois,160.7
75,colegiobilac,fundmental_um,60.23
76,colegiobrasilia,em,1030.17
77,colegiobrasilia,fundamental_dois,1248.43
78,colegiobrasilia,fundmental_um,1517.79
79,colegiobrasilia,infantil,768.01
80,colegiocb,em,294.41
81,colegiocb,fundamental_dois,404.5
82,colegiocb,fundmental_um,143.3
83,colegiodasamericas,em,394.37
84,colegiodasamericas,fundamental_dois,427.8
85,colegiodasamericas,fundmental_um,346.11
86,colegioeag,em,566.56
87,colegioeag,fundamental_dois,747.39
88,colegioeag,fundmental_um,718.38
89,colegioecursodesafio,em,255.18
90,colegioecursodesafio,fundamental_dois,353.14
91,colegioecursodesafio,fundmental_um,72.12
92,colegioecursoprogressao,em,121.77
93,colegioecursoprogressao,fundamental_dois,107.98
94,colegioecursoprogressao,fundmental_um,97.29
95,colegioeducallis,em,4.51
96,colegioeducallis,fundamental_dois,11.75
97,colegioensitec,em,205.97
98,colegioensitec,fundamental_dois,284.75
99,colegioensitec,fundmental_um,173.88
100,colegioflamingo,em,495.81
101,colegiofuturageracao,fundamental_dois,361.68
102,colegiofuturageracao,fundmental_um,177.94
103,colegioglobal,em,9.0
104,colegioglobal,fundamental_dois,5.54
105,colegioglobal,fundmental_um,2.31
106,colegioguilhermedealmeida,em,339.7
107,colegioguilhermedealmeida,fundamental_dois,505.9
108,colegioguilhermedealmeida,fundmental_um,346.54
109,colegioiguatemy,em,815.52
110,colegioiguatemy,fundamental_dois,711.95
111,colegioiguatemy,fundmental_um,383.66
112,colegioiguatemy,infantil,67.65
113,colegiointegral,em,354.43
114,colegiointegral,fundamental_dois,553.92
115,colegiointegral,fundmental_um,655.27
116,colegiointegral,infantil,130.64
117,colegiojoaopaulo,em,449.06
118,colegiojoaopaulo,fundamental_dois,523.06
119,colegiojoaopaulo,fundmental_um,278.76
120,colegioliceu,em,220.41
121,colegiomagnum,em,2.58
122,colegiomartinus,fundamental_dois,9.0
123,colegiomilitardompedroii,em,1.0
124,colegioplanck,em,10.42
125,colegioplanck,fundamental_dois,13.94
126,colegioplanck,infantil,1.0
127,colegiopremium,em,27.52
128,colegiopremium,fundamental_dois,79.21
129,colegiopremium,fundmental_um,63.43
130,colegioprogresso,fundamental_dois,3.0
131,colegioriobranco,fundamental_dois,4.0
132,colegiosaberviver,fundamental_dois,5.0
133,colegiosantamaria,fundamental_dois,5.0
134,colegiosete,em,165.5
135,colegiosete,fundamental_dois,106.74
136,colegiosete,fundmental_um,33.54
137,colegiouirapuru,em,22.24
138,colegiouirapuru,fundamental_dois,19.99
139,colegiouirapuru,fundmental_um,29.48
140,colegiouniverso,em,60.75
141,colegiouniverso,fundamental_dois,133.18
142,colegioup,fundmental_um,2.0
143,conexaosaber,em,24.0
144,conexaosaber,fundamental_dois,105.31
