,namespace,segmento,Média de exercícios realizados
0,abdiasmartins,fundamental_dois,38.3
1,abiliomartins,fundamental_dois,1.18
2,abiliomartins,infantil,1.0
3,acessoalmirantetamandare,em,1175.97
4,acessoalmirantetamandare,fundamental_dois,613.09
5,acessoalmirantetamandare,fundmental_um,222.33
6,acessoboqueirao,em,1270.07
7,acessoboqueirao,fundamental_dois,877.34
8,acessocampolargo,em,1189.11
9,acessocampolargo,fundamental_dois,680.64
10,acessofazendariogrande,em,1221.58
11,acessofazendariogrande,fundamental_dois,736.59
12,acessofazendariogrande,fundmental_um,340.93
13,acessohauer,fundamental_dois,432.48
14,acessohauer,fundmental_um,231.67
15,acessopinhais,em,1175.82
16,acessosantafelicidade,em,1250.86
17,acessosantafelicidade,fundamental_dois,586.39
18,acessosantafelicidade,fundmental_um,191.23
19,acessosjpinhais,em,1296.61
20,acessosjpinhais,fundamental_dois,578.64
21,acessosjpinhais,fundmental_um,164.65
22,aescobjetivo,em,1844.88
23,aescobjetivo,fundamental_dois,954.74
24,aescobjetivo,fundmental_um,229.87
25,albertsabin,fundamental_dois,31.09
26,alpha,em,883.78
27,alpha,fundamental_dois,810.17
28,alpha,fundmental_um,214.95
29,amadeus,em,1185.8
30,amadeus,fundamental_dois,853.62
31,amadeus,fundmental_um,626.59
32,antoniomelo,fundamental_dois,33.81
33,apogeustoantonio2,em,648.17
34,apogeustoantonio2,fundamental_dois,716.06
35,arena,fundamental_dois,48.09
36,casdinhosjc,fundamental_dois,807.87
37,ceabb,fundamental_dois,439.88
38,ceabb,fundmental_um,595.35
39,ceespacolivre,em,535.0
40,ceespacolivre,fundamental_dois,361.0
41,ceespacolivre,fundmental_um,129.54
42,cem,em,601.09
43,cem,fundamental_dois,471.7
44,cem,fundmental_um,392.97
45,ceprimeiromundo,em,540.82
46,ceprimeiromundo,fundamental_dois,319.61
47,ceprimeiromundo,fundmental_um,36.94
48,cermac,fundamental_dois,1.0
49,ciadosaber,fundamental_dois,403.16
50,ciadosaber,fundmental_um,380.39
51,colegioarena,em,516.62
52,colegiobetelbrasileirosp,em,263.19
53,colegiobetelbrasileirosp,fundamental_dois,219.75
