,namespace,"Média de exércicios selecionados, curados ou criados",Tempo economizado com correções automáticas (horas) 
0,abdiasmartins,48.5,0.22
1,abiliomartins,23.6,0.0
2,acessoalmirantetamandare,169.83,8.21
3,acessoboqueirao,224.65,25.4
4,acessocampolargo,180.33,12.82
5,acessocampolargokids,81.8,0.09
6,acessofazendariogrande,178.0,11.57
7,acessohauer,161.29,4.21
8,acessopinhais,126.84,8.9
9,acessosantafelicidade,401.22,18.96
10,acessosjpinhais,199.89,20.61
11,adrianochan,575.27,23.53
12,aescobjetivo,605.12,17.55
13,albertocabral,1.5,0.0
14,albertsabin,3.0,0.03
15,alfacembilingue,3.0,0.02
16,alpha,385.34,45.56
17,amadeus,370.42,33.62
18,amais,252.46,0.0
19,anossaatmosfera,2822.0,21.08
20,antoniairene,1.0,0.0
21,antoniomelo,53.67,0.21
22,apogeu,381.5,0.0
23,apogeustoantonio2,401.38,21.0
24,aprovest,268.14,0.17
25,arena,683.0,0.02
26,arlindocavalcanti,8.0,0.0
27,arturtavares,1.8,0.0
28,atmo,6.0,0.01
29,barraazul,1.6,0.0
30,beityaacov,7546.5,0.12
31,benjaminconstant,3275.75,0.06
32,benjamitacardona,1.5,0.0
33,bernardosayao,7.2,0.0
34,brasilcursinhos,168.45,20.04
35,camerinocursos,238.0,2.6
36,casdinhosjc,111.04,17.41
37,casdvest,153.75,6.23
38,catarinense,3678.33,0.02
39,caur,61.0,0.0
40,cbpdigital,362.82,9.64
41,ceabb,451.38,7.23
42,ceespacolivre,220.57,3.36
43,cem,294.96,5.75
44,ceprimeiromundo,418.43,12.47
45,cfc,1.0,0.0
46,charlesdarwin,20.0,0.02
47,ciadosaber,554.62,5.0
48,cnslpb,808.12,4.99
49,cognitivo,3505.67,0.02
50,colegioanchietai,3.0,0.0
51,colegioanchietaii,2.0,0.0
52,colegioarena,293.88,13.85
53,colegiobatistaindependente,599.24,6.92
54,colegiobetelbrasileirosp,212.42,2.78
55,colegiobianguloiv,3.0,0.19
56,colegiobilac,616.84,16.38
57,colegiobrasilia,889.81,177.22
58,colegiocb,443.41,19.23
59,colegiodasamericas,316.54,12.87
60,colegioeag,155.65,13.34
61,colegioecursodesafio,720.73,58.01
62,colegioecursoprogressao,873.15,31.36
63,colegioeducallis,1162.41,11.96
64,colegioensitec,261.7,12.35
65,colegioflamingo,483.53,10.6
66,colegiofuturageracao,366.92,1.93
67,colegioglobal,303.45,5.42
68,colegioguilhermedealmeida,205.36,26.6
69,colegioiguatemy,821.68,29.95
70,colegiointegral,698.81,226.81
71,colegiojoaopaulo,426.9,23.79
72,colegioliceu,6177.0,9.71
73,colegiomagnum,376.5,1.03
74,colegiomartinus,3201.0,0.02
75,colegionovopatio,414.0,0.44
76,colegioplanck,5202.0,5.63
77,colegiopremium,428.14,9.01
78,colegiopremiumgentil,57.25,0.26
79,colegioprogresso,1015.33,0.0
80,colegioriobranco,5229.67,0.02
81,colegiosaberviver,9.0,0.02
82,colegiosantamaria,174.0,0.02
83,colegiosaoluis,1112.0,0.0
84,colegiosete,439.02,30.24
85,colegiouirapuru,232.92,23.67
86,colegiouniverso,287.71,11.88
87,colegioup,493.73,2.56
88,conexaosaber,253.04,2.2
89,conradochaves,4.0,0.0
90,contemporaneocidadeverde,74.57,2.8
91,contemporaneolagoanova,68.19,2.89
92,cotemig,7.83,0.01
