,namespace,Horas econimizadas,Folhas de papel economizadas,Valor economizado em papel (reais),N° questões,created
0,abdiasmartins,0.28,205.0,20.5,0.0,0.0
1,abiliomartins,0.32,232.17,23.22,1.0,24.0
2,acessoalmirantetamandare,43.94,31634.0,3163.4,5790.0,432.0
3,acessoboqueirao,526.29,378931.67,37893.17,19318.0,927.0
4,acessocampolargo,236.39,170200.66999999998,17020.07,10309.0,572.0
5,acessocampolargokids,10.28,7403.67,740.37,58.0,0.0
6,acessofazendariogrande,105.46,75928.83,7592.88,7961.0,382.0
7,acessohauer,108.85,78374.5,7837.45,3339.0,44.0
8,acessopinhais,59.98,43188.0,4318.8,5289.0,264.0
9,acessosantafelicidade,284.83,205079.5,20507.95,14721.0,701.0
10,acessosjpinhais,393.85,283569.5,28356.95,15585.0,478.0
11,adrianochan,368.47,265299.67,26529.97,16369.0,478.0
12,aescobjetivo,300.89,216642.67,21664.27,11122.0,70.0
13,albertsabin,0.03,21.17,2.12,31.0,3.0
14,alfacembilingue,0.02,17.83,1.78,23.0,3.0
15,alpha,328.84,236768.0,23676.8,31833.0,1380.0
16,amadeus,455.7,328103.0,32810.3,24657.0,1613.0
17,anossaatmosfera,9.38,6751.5,675.15,15258.0,0.0
18,antoniomelo,0.2,144.0,14.4,0.0,0.0
19,apogeustoantonio2,120.54,86792.33,8679.23,20234.0,2978.0
20,aprovest,0.05,34.33,3.43,206.0,908.0
21,atmo,0.02,16.17,1.62,13.0,4.0
22,beityaacov,0.02,15.0,1.5,90.0,0.0
23,benjaminconstant,0.05,38.0,3.8,36.0,13.0
24,brasilcursinhos,174.07,125329.5,12532.95,12777.0,1768.0
25,camerinocursos,0.74,533.5,53.35,3120.0,70.0
26,casdinhosjc,220.78,158958.0,15895.8,15522.0,294.0
27,casdvest,210.98,151907.5,15190.75,4911.0,220.0
28,catarinense,0.04,27.33,2.73,26.0,5.0
29,cav,0.05,34.83,3.48,14.0,0.0
30,cbpdigital,1.53,1102.5,110.25,6615.0,78.0
31,ceabb,49.49,35636.33,3563.63,6170.0,18.0
32,ceespacolivre,188.38,135635.66999999998,13563.57,2974.0,279.0
33,cem,83.85,60369.67,6036.97,4354.0,455.0
34,ceprimeiromundo,176.79,127286.5,12728.65,10200.0,440.0
35,cermac,0.09,65.33,6.53,50.0,0.0
36,charlesdarwin,0.03,19.33,1.93,20.0,9.0
37,ciadosaber,32.47,23378.0,2337.8,5709.0,98.0
38,cnslpb,0.83,598.0,59.8,3588.0,5431.0
39,cognitivo,0.03,21.83,2.18,23.0,0.0
40,colegioarena,42.41,30537.33,3053.73,4277.0,484.0
41,colegiobatistaindependente,1.12,806.17,80.62,4837.0,309.0
42,colegiobetelbrasileirosp,59.59,42904.17,4290.42,3007.0,0.0
43,colegiobianguloiv,0.23,166.17000000000002,16.62,160.0,0.0
44,colegiobilac,23.26,16746.5,1674.65,12540.0,14.0
45,colegiobrasilia,2683.79,1932325.67,193232.57,123574.0,731.0
46,colegiocb,84.82,61069.33,6106.93,14849.0,1163.0
47,colegiodasamericas,188.48,135708.66999999998,13570.87,8938.0,632.0
48,colegioeag,315.73,227327.33,22732.73,7112.0,280.0
49,colegioecursodesafio,50.26,36190.5,3619.05,47535.0,7581.0
50,colegioecursoprogressao,98.9,71210.17,7121.02,21454.0,2012.0
51,colegioeducallis,3.34,2401.83,240.18,8798.0,18.0
52,colegioensitec,68.67,49442.0,4944.2,7422.0,824.0
53,colegioflamingo,34.84,25083.0,2508.3,7614.0,1470.0
54,colegiofuturageracao,13.5,9723.0,972.3,1590.0,0.0
55,colegioglobal,1.0,718.17,71.82,3724.0,863.0
56,colegioguilhermedealmeida,379.02,272894.32999999996,27289.43,20624.0,810.0
57,colegioiguatemy,313.34,225604.17,22560.42,22648.0,1804.0
58,colegiointegral,744.22,535836.5,53583.65,161823.0,3419.0
59,colegiojoaopaulo,519.95,374363.67000000004,37436.37,18601.0,555.0
60,colegioliceu,10.91,7857.83,785.78,4814.0,0.0
61,colegiomagnum,0.09,65.33,6.53,392.0,36.0
62,colegiomartinus,0.03,18.67,1.87,28.0,3.0
63,colegionovopatio,0.11,82.0,8.2,492.0,524.0
64,colegioplanck,0.62,445.5,44.55,2571.0,0.0
65,colegiopremium,18.4,13251.0,1325.1,7008.0,43.0
66,colegiopremiumgentil,14.39,10358.0,1035.8,318.0,10.0
67,colegioprogresso,0.01,5.33,0.53,2.0,2.0
68,colegioriobranco,0.07,51.33,5.13,29.0,7.0
69,colegiosaberviver,0.02,13.33,1.33,20.0,6.0
70,colegiosete,37.84,27241.83,2724.18,21461.0,1453.0
71,colegiouirapuru,8.53,6140.33,614.03,18611.0,1047.0
72,colegiouniverso,70.77,50954.17,5095.42,9535.0,370.0
73,colegioup,0.43,311.67,31.17,1870.0,80.0
74,conexaosaber,11.95,8606.83,860.68,2015.0,67.0
75,contemporaneocidadeverde,0.18,131.0,13.1,786.0,0.0
76,contemporaneolagoanova,0.31,219.67,21.97,1318.0,6.0
77,crb,1.66,1198.17,119.82,7189.0,8.0
78,crescercampinas,1.89,1359.83,135.98,8159.0,1620.0
79,culturainglesa,0.21,150.0,15.0,888.0,3.0
80,cursobase,8.07,5808.33,580.83,2411.0,2598.0
81,cursoenfase,57.45,41360.67,4136.07,2047.0,124.0
82,cursoisfera,47.95,34527.33,3452.73,4121.0,198.0
83,cursoleopoldo,17.7,12741.17,1274.12,295.0,59.0
84,cursosazambuja,336.41,242213.33,24221.33,12131.0,807.0
85,dante,0.57,408.33000000000004,40.83,1409.0,8.0
86,darwin,0.03,18.5,1.85,15.0,0.0
87,deltaeducacional,0.17,123.33,12.33,740.0,610.0
88,dommga,0.06,45.0,4.5,270.0,5.0
89,domus,0.04,31.0,3.1,186.0,0.0
90,duquecastilho,0.3,216.0,21.6,3.0,0.0
91,eacorcovado,365.79,263369.67000000004,26336.97,16486.0,717.0
92,eccos,186.0,133922.83000000002,13392.28,3824.0,72.0
93,educamais,0.08,59.5,5.95,0.0,0.0
94,educandarioterciocorreia,0.34,246.5,24.65,1479.0,166.0
95,educarse,12.68,9130.83,913.08,1718.0,200.0
96,einsteinassis,11.73,8445.33,844.53,2843.0,2218.0
97,elitecuritiba,1241.63,893971.5,89397.15,186.0,54.0
98,elitecuritibaemilianoperneta,232.07,167092.67,16709.27,7516.0,834.0
99,eluneonline,0.01,4.67,0.47,28.0,44.0
100,equipe,0.04,30.33,3.03,29.0,4.0
101,escolaceciliameireles,1.36,978.33,97.83,842.0,0.0
102,escolainternacional,0.08,57.33,5.73,26.0,0.0
103,escolajardimdasnacoes,0.03,18.33,1.83,26.0,8.0
